location_name,baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
Nanji_Hangang,20260403,1700,PCP,20260404,1600,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260404,1600,70,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,1600,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,1700,15,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,1700,2.4,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,1700,2.2,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,1700,227,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,1700,3.3,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,1700,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,1700,0,59,126
Nanji_Hangang,20260403,1700,POP,20260404,1700,30,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,1700,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,1700,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260404,1700,70,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,1700,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,1800,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,1800,2,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,1800,2.4,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,1800,219,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,1800,3.2,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,1800,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,1800,0,59,126
Nanji_Hangang,20260403,1700,POP,20260404,1800,30,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,1800,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,1800,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260404,1800,70,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,1800,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,1900,13,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,1900,1.7,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,1900,2.4,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,1900,216,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,1900,3,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,1900,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,1900,0,59,126
Nanji_Hangang,20260403,1700,POP,20260404,1900,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,1900,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,1900,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260404,1900,75,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,1900,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,2000,12,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,2000,1.4,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,2000,2.1,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,2000,214,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,2000,2.6,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,2000,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,2000,0,59,126
Nanji_Hangang,20260403,1700,POP,20260404,2000,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,2000,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,2000,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260404,2000,75,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,2000,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,2100,11,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,2100,1.4,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,2100,1.8,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,2100,218,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,2100,2.4,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,2100,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,2100,0,59,126
Nanji_Hangang,20260403,1700,POP,20260404,2100,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,2100,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,2100,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260404,2100,80,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,2100,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,2200,11,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,2200,1.4,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,2200,1.7,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,2200,220,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,2200,2.3,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,2200,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,2200,0,59,126
Nanji_Hangang,20260403,1700,POP,20260404,2200,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,2200,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,2200,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260404,2200,80,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,2200,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,2300,10,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,2300,1.1,59,126
