datetime,date,hour,year,month,day,day_of_week,is_weekend,season,daily_parking_count,daily_usage_minutes,avg_stay_minutes,hourly_share,estimated_entries,estimated_active_cars,estimated_active_cars_change,holiday_table_is_weekend,holiday_name,is_holiday,is_substitute_holiday,is_holiday_or_weekend,is_long_weekend,bus_boardings,bus_alightings,subway_boardings,subway_alightings,bike_rentals,bike_rental_minutes_sum,bike_rental_distance_m_sum,bike_returns,event_count,free_event_count,paid_event_count,evening_event_count,nearby_public_parking_sites,nearby_public_parking_capacity_sum,nearby_kickboard_zone_count,nearby_kickboard_stand_count,bus_feature_available,subway_feature_available,bike_feature_available,culture_feature_available,weather_code_label,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,sunshine_duration,weather_feature_available,day_type,split,hour_sin,hour_cos,month_sin,month_cos,outlier_candidate,comparison_anchor,gap_from_anchor,outlier_class
2022-05-06 14:00:00,2022-05-06,14,2022,5,6,Friday,False,spring,2203,160681,72.93735814798002,0.1194960865470364,263.24987866312125,316.3507547739344,24.341957557118175,False,,False,False,False,False,,,246708.0,328829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,False,True,False,False,흐림,24.0,48,12.3,23.1,0.0,0.0,0.0,0.0,3,1015.9,1012.1,90,27,0,86,15.8,249,32.4,690.0,434.0,256.0,3600.0,1,weekday,train,-0.4999999999999998,-0.8660254037844388,0.49999999999999994,-0.8660254037844387,True,316.1584157744323,0.19233899950211253,special_case
2023-08-27 16:00:00,2023-08-27,16,2023,8,27,Sunday,True,summer,1999,192125,96.11055527763882,0.1019931999973653,203.88440679473337,316.4058994297714,32.003761852654236,True,,False,False,True,True,148198.0,149097.0,361345.0,391659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,False,False,흐림,26.8,74,21.8,30.5,0.0,0.0,0.0,0.0,3,1008.2,1004.4,100,0,100,100,7.7,11,14.0,172.0,5.0,167.0,0.0,1,offday,train,-0.8660254037844384,-0.5000000000000004,-0.8660254037844384,-0.5000000000000004,True,316.3507547739344,0.05514465583701167,special_case
2025-04-26 21:00:00,2025-04-26,21,2025,4,26,Saturday,True,spring,4412,415974,94.2824116047144,0.0391608827218871,172.7778145689662,316.5055398415693,-126.90762944486414,True,,False,False,True,True,106760.0,106061.0,430964.0,250276.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,4,52.0,22,0,True,True,False,True,맑음,11.4,76,7.3,9.3,0.0,0.0,0.0,0.0,0,1017.9,1013.9,0,0,0,0,9.6,193,20.9,0.0,0.0,0.0,0.0,1,offday,test,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.49999999999999983,True,316.4058994297714,0.09964041179790684,special_case
2025-09-26 14:00:00,2025-09-26,14,2025,9,26,Friday,False,fall,2774,153697,55.40627253064167,0.1235811310401487,342.8140575053725,316.5674849579622,8.859684585298908,False,,False,False,False,False,130450.0,127036.0,290975.0,362837.0,0.0,0.0,0.0,0.0,18.0,16.0,2.0,10.0,4,52.0,22,0,True,True,False,True,맑음,24.4,68,18.2,27.7,0.0,0.0,0.0,0.0,0,1018.8,1014.9,1,1,0,0,5.0,305,17.3,716.0,576.0,140.0,3600.0,1,weekday,test,-0.4999999999999998,-0.8660254037844388,-1.0,-1.8369701987210297e-16,True,316.5055398415693,0.061945116392905675,special_case
2024-04-06 13:00:00,2024-04-06,13,2024,4,6,Saturday,True,spring,2690,246652,91.6921933085502,0.0829554972469645,223.1502875943347,316.61073098560763,70.5795916183165,True,,False,False,True,True,124599.0,120970.0,274597.0,401986.0,934.0,36638.0,3805799.6,795.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,True,False,흐림,16.1,38,1.7,13.4,0.0,0.0,0.0,0.0,3,1019.4,1015.4,100,0,98,100,5.6,243,16.6,525.0,142.0,383.0,3182.39,1,offday,valid,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.49999999999999983,True,316.5674849579622,0.04324602764540941,special_case
2022-05-07 19:00:00,2022-05-07,19,2022,5,7,Saturday,True,spring,2686,233331,86.8693224125093,0.0761098888961958,204.431161575182,316.7633970785365,-61.17680643747167,True,,False,False,True,True,,,408102.0,429243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,False,True,False,False,흐림,18.3,28,-0.6,14.4,0.0,0.0,0.0,0.0,3,1016.9,1013.0,100,0,0,100,11.3,297,28.1,74.0,7.0,67.0,0.0,1,offday,train,-0.9659258262890684,0.2588190451025203,0.49999999999999994,-0.8660254037844387,True,316.61073098560763,0.15266609292888234,special_case
2022-11-06 16:00:00,2022-11-06,16,2022,11,6,Sunday,True,fall,2122,170295,80.2521206409048,0.1113266708276356,236.23519549624288,316.79612896717026,2.6609144657556953,True,,False,False,True,True,,,362752.0,369760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,52.0,22,0,False,True,False,False,부분적으로 흐림,13.3,48,2.4,10.6,0.0,0.0,0.0,0.0,2,1023.5,1019.5,58,1,0,58,6.9,261,16.6,278.0,186.0,92.0,3600.0,1,offday,train,-0.8660254037844384,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,True,316.7633970785365,0.032731888633747985,special_case
2023-04-16 12:00:00,2023-04-16,12,2023,4,16,Sunday,True,spring,3321,320677,96.5603733815116,0.0657770680274524,218.44564291916956,316.845690610537,87.84483482771128,True,,False,False,True,True,113227.0,107312.0,235098.0,335669.0,424.0,12449.0,1432950.3,428.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,True,False,흐림,12.4,64,5.8,10.0,0.0,0.0,0.0,0.0,3,1005.5,1001.5,100,2,100,100,9.0,247,19.1,291.0,8.0,283.0,0.0,1,offday,train,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.49999999999999983,True,316.79612896717026,0.049561643366757835,special_case
2025-10-18 11:00:00,2025-10-18,11,2025,10,18,Saturday,True,fall,3839,397366,103.50768429278456,0.0550655360577097,211.39659292554768,316.8806964700917,104.729659240478,True,,False,False,True,True,115105.0,107090.0,225556.0,348326.0,0.0,0.0,0.0,0.0,20.0,17.0,3.0,12.0,4,52.0,22,0,True,True,False,True,흐림,15.1,83,12.2,14.0,0.0,0.0,0.0,0.0,3,1020.7,1016.7,100,94,3,98,12.0,315,30.6,166.0,0.0,166.0,0.0,1,offday,test,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,True,316.845690610537,0.035005859554701146,special_case
2024-08-03 19:00:00,2024-08-03,19,2024,8,3,Saturday,True,summer,2193,200959,91.63657090743274,0.0912420622822565,200.09384258498864,316.95050423015084,-25.82058169435857,True,,False,False,True,True,161795.0,170925.0,449767.0,462135.0,475.0,14435.0,1750847.58,460.0,0.0,0.0,0.0,0.0,4,52.0,22,0,True,True,True,False,맑음,28.9,79,24.9,34.5,0.0,0.0,0.0,0.0,0,1006.4,1002.7,2,1,1,0,7.3,250,14.8,123.0,64.0,59.0,3600.0,1,offday,valid,-0.9659258262890684,0.2588190451025203,-0.8660254037844384,-0.5000000000000004,True,316.8806964700917,0.06980776005912048,special_case
