date,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name,is_substitute_holiday,is_holiday_or_weekend,is_long_weekend,daily_parking_count,daily_usage_minutes,avg_stay_minutes
2023-02-12,2023,2,12,Sunday,True,False,,False,True,False,1342,91556,68.22
2023-02-13,2023,2,13,Monday,False,False,,False,False,False,1349,60594,44.92
2023-02-14,2023,2,14,Tuesday,False,False,,False,False,False,1431,59453,41.55
2023-02-15,2023,2,15,Wednesday,False,False,,False,False,False,1474,75551,51.26
2023-02-16,2023,2,16,Thursday,False,False,,False,False,False,1289,66393,51.51
2023-02-17,2023,2,17,Friday,False,False,,False,False,False,1549,77960,50.33
2023-02-18,2023,2,18,Saturday,True,False,,False,True,False,1430,77911,54.48
2023-02-19,2023,2,19,Sunday,True,False,,False,True,False,1531,95845,62.6
2023-02-20,2023,2,20,Monday,False,False,,False,False,False,1446,63630,44.0
2023-02-21,2023,2,21,Tuesday,False,False,,False,False,False,1450,59411,40.97
2023-02-22,2023,2,22,Wednesday,False,False,,False,False,False,1394,65375,46.9
2023-02-23,2023,2,23,Thursday,False,False,,False,False,False,1320,74151,56.17
2023-02-24,2023,2,24,Friday,False,False,,False,False,False,1506,79302,52.66
2023-02-25,2023,2,25,Saturday,True,False,,False,True,False,1519,82445,54.28
2023-02-26,2023,2,26,Sunday,True,False,,False,True,False,1657,116281,70.18
2023-02-27,2023,2,27,Monday,False,False,,False,False,False,1565,71081,45.42
2023-02-28,2023,2,28,Tuesday,False,False,,False,False,False,1680,79874,47.54
2023-03-01,2023,3,1,Wednesday,False,True,삼일절,False,True,False,1575,109092,69.26
2023-03-02,2023,3,2,Thursday,False,False,,False,False,False,1305,59795,45.82
2023-03-03,2023,3,3,Friday,False,False,,False,False,False,1417,68185,48.12
2023-03-04,2023,3,4,Saturday,True,False,,False,True,False,1712,128034,74.79
2023-03-05,2023,3,5,Sunday,True,False,,False,True,False,1866,147373,78.98
2023-03-06,2023,3,6,Monday,False,False,,False,False,False,1468,75309,51.3
2023-03-07,2023,3,7,Tuesday,False,False,,False,False,False,1377,89644,65.1
2023-03-08,2023,3,8,Wednesday,False,False,,False,False,False,1397,83681,59.9
2023-03-09,2023,3,9,Thursday,False,False,,False,False,False,1444,74023,51.26
2023-03-10,2023,3,10,Friday,False,False,,False,False,False,1778,99196,55.79
2023-03-11,2023,3,11,Saturday,True,False,,False,True,False,2330,183705,78.84
2023-03-12,2023,3,12,Sunday,True,False,,False,True,False,1142,55277,48.4
2023-03-13,2023,3,13,Monday,False,False,,False,False,False,1494,82878,55.47
2023-03-14,2023,3,14,Tuesday,False,False,,False,False,False,1387,71155,51.3
2023-03-15,2023,3,15,Wednesday,False,False,,False,False,False,1451,77492,53.41
2023-03-16,2023,3,16,Thursday,False,False,,False,False,False,1374,79270,57.69
2023-03-17,2023,3,17,Friday,False,False,,False,False,False,1700,94443,55.55
2023-03-18,2023,3,18,Saturday,True,False,,False,True,False,2281,176491,77.37
2023-03-19,2023,3,19,Sunday,True,False,,False,True,False,2044,183113,89.59
2023-03-20,2023,3,20,Monday,False,False,,False,False,False,1575,99146,62.95
2023-03-21,2023,3,21,Tuesday,False,False,,False,False,False,1607,107950,67.17
2023-03-22,2023,3,22,Wednesday,False,False,,False,False,False,1558,104948,67.36
2023-03-23,2023,3,23,Thursday,False,False,,False,False,False,1731,104265,60.23
2023-03-24,2023,3,24,Friday,False,False,,False,False,False,1714,108784,63.47
2023-03-25,2023,3,25,Saturday,True,False,,False,True,False,2492,201343,80.8
2023-03-26,2023,3,26,Sunday,True,False,,False,True,False,2982,233665,78.36
2023-03-27,2023,3,27,Monday,False,False,,False,False,False,1779,113244,63.66
